Chromosome,Gene,Bit,median
1,LMNA,32,4
1,NTRK1,21,3
7,RAPGEF5,4,3
7,EGFR,25,3
7,AKAP9,34,1
7,MET,29,2
7,PODXL,0,2
7,BRAF,3,1
8,KAT6A,2,1
8,UBR5,1,2
8,MYC,26,5
8,PTK2,23,3
8,RECQL4,28,6
13,CDK8,14,3
13,CDX2,19,4
13,BRCA2,16,3
13,IRS2,31,4
17,TP53,12,2
17,MAP2K4,7,0
17,ERBB2,11,3
18,TYMS,6,1
18,YES1,15,2
18,RALBP1,8,2
18,SMAD2,13,1
18,SMAD4,10,1
20,SLC52A3,18,5
20,PSMF1,9,4
20,FKBP1A,30,3
20,ABHD12,17,1
20,MAFB,20,4
20,TOP1,33,4
20,PLCG1,22,5
20,HNF4A,27,5
20,ZNF217,24,5
20,BMP7,5,6
